id,url,title,price,location,type,area,rooms,bedrooms,bathrooms,description,property_state,jardin,piscine,cuisine_equiped,terrasse,garage,ascenseur,quartier,status
,https://www.avito.ma/fr/abbadi/villas_et_riads/nouvelles_villa_55949420.htm,nouvelles villa,4500000,"Abbadi, Temara","Villas et Riads, à vendre",,,,,nouvelle construction villa sur trois niveaux avec cave garage rez-de-chaussée e 1 er étage pour une superficie totale de 480m carrée pour plus les foto e info merci de bien nous contacter prix négociable,,false,false,false,false,true,false,Abbadi,à vendre
,https://www.avito.ma/fr/abdelmoumen/appartements/%D8%B4%D9%82%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_90%D9%85%D8%AA%D8%B1____%D8%A7%D9%84%D8%A8%D8%B1%D9%86%D9%88%D8%B5%D9%8A_%D8%AD%D9%8A_%D8%A7%D9%84%D9%82%D8%AF%D8%B3_56157459.htm,شقة للبيع 90متر. ..البرنوصي حي القدس,,"Abdelmoumen, Casablanca","Appartements, à vendre",,,,,شقة للبيع حي القدس,,false,false,false,false,false,false,Abdelmoumen,à vendre
,https://www.avito.ma/fr/abdelmoumen/appartements/%D8%B4%D9%82%D8%A9_50_%D9%85%D8%AA%D8%B1_%D9%81%D9%8A_%D8%B7%D8%A7%D8%A8%D9%82_%D8%B1%D8%A7%D8%A8%D8%B9_55742008.htm,شقة 50 متر في طابق رابع,390000,"Abdelmoumen, Casablanca","Appartements, à vendre",,,,,"شقة 50 متر في طابق رابع قبلية مشمشة مزيان في سيدي مومن حدا حمام جزيرة قريبة لعين سبع و الجميع مرافق ضرورية : حمام مدرسة اعدادية تانوية مسجد .....الخ
فيها parcking
معاودة في صلاح و غادا تبقا بالصالون ديالها مفرش
ممنوع وسطاء عقاريين الله جازيكم بخير",,false,false,false,false,false,false,Abdelmoumen,à vendre
,https://www.avito.ma/fr/abdelmoumen/appartements/APPERETEMENT_56292781.htm,APPERETEMENT,,"Abdelmoumen, Casablanca","Appartements, à vendre",,,,,SDFGHJK ERTYJK,,false,false,false,false,false,false,Abdelmoumen,à vendre
,https://www.avito.ma/fr/abdelmoumen/appartements/A_saisir_Appart_177m2_quartier_des_h%C3%B4pitaux_55843290.htm,A saisir Appart 177m2 quartier des hôpitaux,1890000,"Abdelmoumen, Casablanca","Appartements, à vendre",177,,,,"Je mets en vente un appart haut standing de 177 m² au quartier des hôpitaux (place pasteur) 1er étage dans un immeuble bien entretenu et sécurisé avec concierge. L'appartemant est en très bon état avec des matériaux de qualité (marbre au sol, parquet dans les chambres...), il comprend 1 salon double, 1 autre séjour donnant sur une jardinière, 3 grandes chambres à coucher dont une suite parentale avec dressing et salle de bain, une 2ème salle de bain pour chambres d'enfants, une salle d'eau réception, cuisine équipée refaite à neuf, 2 terrasses dont une avec jardinière. 1 place au garage, 1 box en terrasse.",,true,false,true,true,true,false,Abdelmoumen,à vendre
,https://www.avito.ma/fr/abdelmoumen/appartements/Apparemment_%C3%A0_vendre_%C3%A0_Casablanca__56259478.htm,Apparemment à vendre à Casablanca,,"Abdelmoumen, Casablanca","Appartements, à vendre",,,,,"Apparemment lumineux, traversant de 141 m2 à vendre à Casablanca.
Double salon, deux chambres à coucher avec deressing, cuisine spacieuse aménagée, hall avec grande bibliothèque et cheminée.
4e étage avec ascenseur et place de parking.
Convient pour habitation ou bureau. A proximité de la fac de médecine et le quartier des affaires. Bien desservi par les transports.

Me contacter pour plus d'informations.",,false,false,false,false,true,true,Abdelmoumen,à vendre
,https://www.avito.ma/fr/abdelmoumen/appartements/Apparemment_proche_station_tram_fac_medecine_56136101.htm,Apparemment proche station tram fac medecine,1260000,"Abdelmoumen, Casablanca","Appartements, à vendre",,,,,"Apparemment de 93m2 ,etage 2, Immeuble de 5 etages avec sous sol,assenseur ,tres bien situé sur une rue proche de la station tram fac de medecine,
2ch ,tres grand salon,deux SDB,cuisine
Avec une place au garrage sous sol d'accès facile,
Avec un espace privé et sécurisé à la terrasse.
Prix 1260000dh
Intermédiaires :evitez de me contacter ,merci",,false,false,false,true,false,false,Abdelmoumen,à vendre
,https://www.avito.ma/fr/abdelmoumen/appartements/Appart_%C3%A0_vendre_a_abdelmoumen_Casablanca_55963511.htm,Appart à vendre a abdelmoumen Casablanca,1400000,"Abdelmoumen, Casablanca","Appartements, à vendre",,4,3,,appart tres bien ensoleille a vendre / double salon /3 chambres /2 sdb / cuisine / ascenceur / garage .,,false,false,false,false,true,false,Abdelmoumen,à vendre
,https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_%C3%A0_Casablanca_55811370.htm,Appartement à Casablanca,,"Abdelmoumen, Casablanca","Appartements, à vendre",,,,,a vendre,,false,false,false,false,false,false,Abdelmoumen,à vendre
,https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_%C3%A0_Casablanca__55954677.htm,Appartement à Casablanca,2700000,"Abdelmoumen, Casablanca","Appartements, à vendre",,4,3,,"Superbe appartement à vendre à Casablanca, dans le quartier de abdelmoumen dans résidence fermée et sécurisée24/24. Ce bien de 135m2 se situe au 2ème étage. il se compose d'un double salon- 3 chambres à coucher dont une suite parenta- 2 salles de bains- 1 salle d'eau- une cuisine équipée- 2 places de parkings",,false,false,true,false,true,false,Abdelmoumen,à vendre
