type,area,property_state,rooms,bedrooms,bathrooms,jardin,piscine,cuisine_equiped,terrasse,garage,quartier,price_de_m2,price
villa,1080.0,20-30 ans,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Souissi,10185.185185185184,11000000.0
villa,649.0,30-50 ans,8.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,Riyad,14637.904468412942,9500000.0
appartement,140.0,Moins d'un an,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,Souissi,22857.14285714286,3200000.0
appartement,102.0,20-30 ans,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Diour Jamaa,15686.274509803921,1600000.0
,93.0,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,Riyad,27956.989247311827,2600000.0
appartement,600.0,1-5 ans,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,Hay Al Rajaa Fillah,1750.0,1050000.0
appartement,110.0,,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Hay Al Kora,11363.636363636364,1250000.0
appartement,122.0,5-10 ans,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,Diour Jamaa,16065.573770491803,1960000.0
appartement,79.0,1-5 ans,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,Quartier Administratif,23417.721518987342,1850000.0
appartement,123.0,1-5 ans,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,Hassan - Centre Ville,18292.682926829268,2250000.0
appartement,92.0,,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,Agdal,17391.304347826088,1600000.0
appartement,142.0,5-10 ans,4.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,Agdal,18661.971830985916,2650000.0
villa,2000.0,,6.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,Souissi,7500.0,15000000.0
appartement,142.0,,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,Riyad,22535.211267605635,3200000.0
villa,580.0,,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,El Youssoufia,16379.310344827587,9500000.0
appartement,260.0,1-5 ans,7.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,Riyad,26538.46153846154,6900000.0
maison,297.0,,6.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,Hay Nahda,10101.0101010101,3000000.0
bureau,110.0,10-20 ans,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,Agdal,15818.181818181818,1740000.0
villa,1700.0,5-10 ans,7.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,Souissi,7352.941176470588,12500000.0
villa,1700.0,,8.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,Riyad,6470.588235294118,11000000.0
appartement,144.0,Moins d'un an,4.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,Riyad,22569.444444444445,3250000.0
appartement,109.0,5-10 ans,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,Hassan - Centre Ville,23853.211009174312,2600000.0
villa,729.0,,9.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,Riyad,16460.90534979424,12000000.0
villa,2109.0,20-30 ans,6.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,Souissi,6638.217164532954,14000000.0
villa,2000.0,20-30 ans,8.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,Souissi,6450.0,12900000.0
villa,280.0,20-30 ans,7.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,Riyad,18571.428571428572,5200000.0
appartement,93.0,,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,Riyad,27956.989247311827,2600000.0
villa,1850.0,1-5 ans,8.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,Souissi,8108.108108108108,15000000.0
,53.0,20-30 ans,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,L'Ocean,11886.792452830188,630000.0
appartement,98.0,,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Kébibat,13673.469387755102,1340000.0
villa,500.0,1-5 ans,4.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,Souissi,17600.0,8800000.0
villa,568.0,20-30 ans,8.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,El Youssoufia,10915.492957746479,6200000.0
villa,447.0,10-20 ans,8.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,Riyad,14317.673378076062,6400000.0
villa,5200.0,1-5 ans,13.0,10.0,11.0,1.0,1.0,0.0,1.0,1.0,Souissi,6730.7692307692305,35000000.0
villa,112.0,20-30 ans,4.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,Riyad,20535.714285714286,2300000.0
,60.0,Moins d'un an,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Souissi,216.66666666666666,13000.0
villa,650.0,,7.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,Souissi,23076.923076923078,15000000.0
villa,650.0,1-5 ans,8.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,Riyad,20000.0,13000000.0
